courbe,date,mois_depuis_publication,n_signalees,pct,n_corpus
A_praticiens,2024-12-15,9.46,121,18.8,643
A_praticiens,2025-02-17,11.56,126,19.6,643
A_praticiens,2025-07-06,16.13,133,20.7,643
A_praticiens,2025-08-31,17.97,153,23.8,643
A_praticiens,2026-03-16,24.44,156,24.3,643
A_praticiens,2026-03-17,24.48,157,24.4,643
A_praticiens,2026-03-23,24.67,157,24.4,643
A_praticiens,2026-05-04,26.05,169,26.3,643
B_instrument_high,2024-03-01,-0.03,45,7.0,643
B_instrument_high,2024-04-01,0.99,73,11.35,643
B_instrument_high,2024-05-01,1.97,73,11.35,643
B_instrument_high,2024-06-01,2.99,73,11.35,643
B_instrument_high,2024-07-01,3.98,73,11.35,643
B_instrument_high,2024-08-01,4.99,73,11.35,643
B_instrument_high,2024-09-01,6.01,73,11.35,643
B_instrument_high,2024-10-01,7.0,73,11.35,643
B_instrument_high,2024-11-01,8.02,73,11.35,643
B_instrument_high,2024-12-01,9.0,73,11.35,643
B_instrument_high,2025-01-01,10.02,73,11.35,643
B_instrument_high,2025-02-01,11.04,73,11.35,643
B_instrument_high,2025-03-01,11.96,73,11.35,643
B_instrument_high,2025-04-01,12.98,73,11.35,643
B_instrument_high,2025-05-01,13.96,73,11.35,643
B_instrument_high,2025-06-01,14.98,73,11.35,643
B_instrument_high,2025-07-01,15.97,73,11.35,643
B_instrument_high,2025-08-01,16.99,73,11.35,643
B_instrument_high,2025-09-01,18.0,73,11.35,643
B_instrument_high,2025-10-01,18.99,73,11.35,643
B_instrument_high,2025-11-01,20.01,73,11.35,643
B_instrument_high,2025-12-01,20.99,73,11.35,643
B_instrument_high,2026-01-01,22.01,73,11.35,643
B_instrument_high,2026-02-01,23.03,73,11.35,643
B_instrument_high,2026-03-01,23.95,73,11.35,643
B_instrument_high,2026-04-01,24.97,73,11.35,643
B_instrument_high,2026-05-01,25.96,73,11.35,643
B_instrument_high,2026-06-01,26.97,73,11.35,643
B_instrument_high,2026-07-01,27.96,73,11.35,643
B_instrument_high,2026-08-01,28.98,73,11.35,643
B_instrument_high,2026-08-15,29.44,73,11.35,643
